Id	Province/State	Country/Region	Lat	Long
0		Afghanistan	33	65
1		Albania	41.1533	20.1683
2		Algeria	28.0339	1.6596
3		Andorra	42.5063	1.5218
4		Angola	-11.2027	17.8739
5		Antigua and Barbuda	17.0608	-61.7964
6		Argentina	-38.4161	-63.6167
7		Armenia	40.0691	45.0382
8	Australian Capital Territory	Australia	-35.4735	149.0124
9	New South Wales	Australia	-33.8688	151.2093
10	Northern Territory	Australia	-12.4634	130.8456
11	Queensland	Australia	-28.0167	153.4
12	South Australia	Australia	-34.9285	138.6007
13	Tasmania	Australia	-41.4545	145.9707
14	Victoria	Australia	-37.8136	144.9631
15	Western Australia	Australia	-31.9505	115.8605
16		Austria	47.5162	14.5501
17		Azerbaijan	40.1431	47.5769
18		Bahamas	25.0343	-77.3963
19		Bahrain	26.0275	50.55
20		Bangladesh	23.685	90.3563
21		Barbados	13.1939	-59.5432
22		Belarus	53.7098	27.9534
23		Belgium	50.8333	4
24		Benin	9.3077	2.3158
25		Bhutan	27.5142	90.4336
26		Bolivia	-16.2902	-63.5887
27		Bosnia and Herzegovina	43.9159	17.6791
28		Brazil	-14.235	-51.9253
29		Brunei	4.5353	114.7277
30		Bulgaria	42.7339	25.4858
31		Burkina Faso	12.2383	-1.5616
32		Cabo Verde	16.5388	-23.0418
33		Cambodia	11.55	104.9167
34		Cameroon	3.848	11.5021
35	Alberta	Canada	53.9333	-116.5765
36	British Columbia	Canada	49.2827	-123.1207
37	Grand Princess	Canada	37.6489	-122.6655
38	Manitoba	Canada	53.7609	-98.8139
39	New Brunswick	Canada	46.5653	-66.4619
40	Newfoundland and Labrador	Canada	53.1355	-57.6604
41	Nova Scotia	Canada	44.682	-63.7443
42	Ontario	Canada	51.2538	-85.3232
43	Prince Edward Island	Canada	46.5107	-63.4168
44	Quebec	Canada	52.9399	-73.5491
45	Saskatchewan	Canada	52.9399	-106.4509
46		Central African Republic	6.6111	20.9394
47		Chad	15.4542	18.7322
48		Chile	-35.6751	-71.543
49	Anhui	China	31.8257	117.2264
50	Beijing	China	40.1824	116.4142
51	Chongqing	China	30.0572	107.874
52	Fujian	China	26.0789	117.9874
53	Gansu	China	37.8099	101.0583
54	Guangdong	China	23.3417	113.4244
55	Guangxi	China	23.8298	108.7881
56	Guizhou	China	26.8154	106.8748
57	Hainan	China	19.1959	109.7453
58	Hebei	China	39.549	116.1306
59	Heilongjiang	China	47.862	127.7615
60	Henan	China	33.882	113.614
61	Hong Kong	China	22.3	114.2
62	Hubei	China	30.9756	112.2707
63	Hunan	China	27.6104	111.7088
64	Inner Mongolia	China	44.0935	113.9448
65	Jiangsu	China	32.9711	119.455
66	Jiangxi	China	27.614	115.7221
67	Jilin	China	43.6661	126.1923
68	Liaoning	China	41.2956	122.6085
69	Macau	China	22.1667	113.55
70	Ningxia	China	37.2692	106.1655
71	Qinghai	China	35.7452	95.9956
72	Shaanxi	China	35.1917	108.8701
73	Shandong	China	36.3427	118.1498
74	Shanghai	China	31.202	121.4491
75	Shanxi	China	37.5777	112.2922
76	Sichuan	China	30.6171	102.7103
77	Tianjin	China	39.3054	117.323
78	Tibet	China	31.6927	88.0924
79	Xinjiang	China	41.1129	85.2401
80	Yunnan	China	24.974	101.487
81	Zhejiang	China	29.1832	120.0934
82		Colombia	4.5709	-74.2973
83		Congo (Brazzaville)	-4.0383	21.7587
84		Congo (Kinshasa)	-4.0383	21.7587
85		Costa Rica	9.7489	-83.7534
86		Cote d'Ivoire	7.54	-5.5471
87		Croatia	45.1	15.2
88		Diamond Princess	0	0
89		Cuba	22	-80
90		Cyprus	35.1264	33.4299
91		Czechia	49.8175	15.473
92	Faroe Islands	Denmark	61.8926	-6.9118
93	Greenland	Denmark	71.7069	-42.6043
94		Denmark	56.2639	9.5018
95		Djibouti	11.8251	42.5903
96		Dominican Republic	18.7357	-70.1627
97		Ecuador	-1.8312	-78.1834
98		Egypt	26	30
99		El Salvador	13.7942	-88.8965
100		Equatorial Guinea	1.5	10
101		Eritrea	15.1794	39.7823
102		Estonia	58.5953	25.0136
103		Eswatini	-26.5225	31.4659
104		Ethiopia	9.145	40.4897
105		Fiji	-17.7134	178.065
106		Finland	64	26
107	French Guiana	France	3.9339	-53.1258
108	French Polynesia	France	-17.6797	149.4068
109	Guadeloupe	France	16.25	-61.5833
110	Mayotte	France	-12.8275	45.1662
111	New Caledonia	France	-20.9043	165.618
112	Reunion	France	-21.1351	55.2471
113	Saint Barthelemy	France	17.9	-62.8333
114	St Martin	France	18.0708	-63.0501
115	Martinique	France	14.6415	-61.0242
116		France	46.2276	2.2137
117		Gabon	-0.8037	11.6094
118		Gambia	13.4432	-15.3101
119		Georgia	42.3154	43.3569
120		Germany	51	9
121		Ghana	7.9465	-1.0232
122		Greece	39.0742	21.8243
123		Guatemala	15.7835	-90.2308
124		Guinea	9.9456	-9.6966
125		Guyana	5	-58.75
126		Haiti	18.9712	-72.2852
127		Holy See	41.9029	12.4534
128		Honduras	15.2	-86.2419
129		Hungary	47.1625	19.5033
130		Iceland	64.9631	-19.0208
131		India	21	78
132		Indonesia	-0.7893	113.9213
133		Iran	32	53
134		Iraq	33	44
135		Ireland	53.1424	-7.6921
136		Israel	31	35
137		Italy	43	12
138		Jamaica	18.1096	-77.2975
139		Japan	36	138
140		Jordan	31.24	36.51
141		Kazakhstan	48.0196	66.9237
142		Kenya	-0.0236	37.9062
143		"Korea	 South"	36	128
144		Kuwait	29.5	47.75
145		Kyrgyzstan	41.2044	74.7661
146		Latvia	56.8796	24.6032
147		Lebanon	33.8547	35.8623
148		Liberia	6.4281	-9.4295
149		Liechtenstein	47.14	9.55
150		Lithuania	55.1694	23.8813
151		Luxembourg	49.8153	6.1296
152		Madagascar	-18.7669	46.8691
153		Malaysia	2.5	112.5
154		Maldives	3.2028	73.2207
155		Malta	35.9375	14.3754
156		Mauritania	21.0079	10.9408
157		Mauritius	-20.2	57.5
158		Mexico	23.6345	-102.5528
159		Moldova	47.4116	28.3699
160		Monaco	43.7333	7.4167
161		Mongolia	46.8625	103.8467
162		Montenegro	42.5	19.3
163		Morocco	31.7917	-7.0926
164		Namibia	-22.9576	18.4904
165		Nepal	28.1667	84.25
166	Aruba	Netherlands	12.5186	-70.0358
167	Curacao	Netherlands	12.1696	-68.99
168	Sint Maarten	Netherlands	18.0425	-63.0548
169		Netherlands	52.1326	5.2913
170		New Zealand	-40.9006	174.886
171		Nicaragua	12.8654	-85.2072
172		Niger	17.6078	8.0817
173		Nigeria	9.082	8.6753
174		North Macedonia	41.6086	21.7453
175		Norway	60.472	8.4689
176		Oman	21	57
177		Pakistan	30.3753	69.3451
178		Panama	8.538	-80.7821
179		Papua New Guinea	-6.315	143.9555
180		Paraguay	-23.4425	-58.4438
181		Peru	-9.19	-75.0152
182		Philippines	13	122
183		Poland	51.9194	19.1451
184		Portugal	39.3999	-8.2245
185		Qatar	25.3548	51.1839
186		Romania	45.9432	24.9668
187		Russia	60	90
188		Rwanda	-1.9403	29.8739
189		Saint Lucia	13.9094	-60.9789
190		Saint Vincent and the Grenadines	12.9843	-61.2872
191		San Marino	43.9424	12.4578
192		Saudi Arabia	24	45
193		Senegal	14.4974	-14.4524
194		Serbia	44.0165	21.0059
195		Seychelles	-4.6796	55.492
196		Singapore	1.2833	103.8333
197		Slovakia	48.669	19.699
198		Slovenia	46.1512	14.9955
199		Somalia	5.1521	46.1996
200		South Africa	-30.5595	22.9375
201		Spain	40	-4
202		Sri Lanka	7	81
203		Sudan	12.8628	30.2176
204		Suriname	3.9193	-56.0278
205		Sweden	63	16
206		Switzerland	46.8182	8.2275
207		Taiwan*	23.7	121
208		Tanzania	-6.369	34.8888
209		Thailand	15	101
210		Togo	8.6195	0.8248
211		Trinidad and Tobago	10.6918	-61.2225
212		Tunisia	34	9
213		Turkey	38.9637	35.2433
214		Uganda	1	32
215		Ukraine	48.3794	31.1656
216		United Arab Emirates	24	54
217	Bermuda	United Kingdom	32.3078	-64.7505
218	Cayman Islands	United Kingdom	19.3133	-81.2546
219	Channel Islands	United Kingdom	49.3723	-2.3644
220	Gibraltar	United Kingdom	36.1408	-5.3536
221	Isle of Man	United Kingdom	54.2361	-4.5481
222	Montserrat	United Kingdom	16.7425	-62.1874
223		United Kingdom	55.3781	-3.436
224		Uruguay	-32.5228	-55.7658
225		US	37.0902	-95.7129
226		Uzbekistan	41.3775	64.5853
227		Venezuela	6.4238	-66.5897
228		Vietnam	16	108
229		Zambia	-15.4167	28.2833
230		Zimbabwe	-20	30
231	Diamond Princess	Canada	0	0
232		Dominica	15.415	-61.371
233		Grenada	12.1165	-61.679
234		Mozambique	-18.665695	35.529562
235		Syria	34.802075	38.996815
236		Timor-Leste	-8.874217	125.727539
237		Belize	13.1939	-59.5432
238	Recovered	Canada	0	0
239		Laos	19.85627	102.495496
240		Libya	26.3351	17.228331
241		West Bank and Gaza	31.9522	35.2332
242		Guinea-Bissau	11.8037	-15.1804
243		Mali	17.570692	-3.996166
244		Saint Kitts and Nevis	17.357822	-62.782998
245	Northwest Territories	Canada	64.8255	-124.8457
246	Yukon	Canada	64.2823	-135
247		Kosovo	42.602636	20.902977
248		Burma	21.9162	95.956
249	Anguilla	United Kingdom	18.2206	-63.0686
250	British Virgin Islands	United Kingdom	18.4207	-64.64
251	Turks and Caicos Islands	United Kingdom	21.694	-71.7979
252		MS Zaandam	0	0
253		Botswana	-22.3285	24.6849
254		Burundi	-3.3731	29.9189
255		Sierra Leone	8.460555	-11.779889
256	"Bonaire	 Sint Eustatius and Saba"	Netherlands	12.1784	-68.2385
257		Malawi	-13.254308	34.301525
258	Falkland Islands (Malvinas)	United Kingdom	-51.7963	-59.5236
259	Saint Pierre and Miquelon	France	46.8852	-56.3159
260		South Sudan	6.877	31.307
261		Western Sahara	24.2155	-12.8858
262		Sao Tome and Principe	0.18636	6.613081
263		Yemen	15.552727	48.516388
